Index,Raw_Value,Balanced_Value,Hex
233,115792089237316195423570985008687907852837564279074904382605163141518161481281,-13056,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0360e41
234,13088,13088,0x3320
235,115792089237316195423570985008687907852837564279074904382605163141518161481249,-13088,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0360e21
236,13472,13472,0x34a0
237,115792089237316195423570985008687907852837564279074904382605163141518161480609,-13728,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0360ba1
238,13728,13728,0x35a0
239,115792089237316195423570985008687907852837564279074904382605163141518161480481,-13856,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0360b21
240,13856,13856,0x3620
241,115792089237316195423570985008687907852837564279074904382605163141518161480449,-13888,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0360b01
242,13888,13888,0x3640
243,14112,14112,0x3720
244,14432,14432,0x3860
245,14592,14592,0x3900
246,115792089237316195423570985008687907852837564279074904382605163141518161479521,-14816,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0360761
247,14816,14816,0x39e0
248,115792089237316195423570985008687907852837564279074904382605163141518161479329,-15008,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03606a1
249,15008,15008,0x3aa0
250,15168,15168,0x3b40
251,115792089237316195423570985008687907852837564279074904382605163141518161479169,-15168,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0360601
252,15264,15264,0x3ba0
253,15392,15392,0x3c20
254,15488,15488,0x3c80
255,115792089237316195423570985008687907852837564279074904382605163141518161478849,-15488,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03604c1
256,15552,15552,0x3cc0
257,15616,15616,0x3d00
258,115792089237316195423570985008687907852837564279074904382605163141518161478721,-15616,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0360441
259,15648,15648,0x3d20
260,115792089237316195423570985008687907852837564279074904382605163141518161478689,-15648,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0360421
261,15744,15744,0x3d80
262,15872,15872,0x3e00
263,16064,16064,0x3ec0
264,16192,16192,0x3f40
265,16224,16224,0x3f60
266,16384,16384,0x4000
267,16448,16448,0x4040
268,115792089237316195423570985008687907852837564279074904382605163141518161477889,-16448,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0360101
269,16576,16576,0x40c0
270,115792089237316195423570985008687907852837564279074904382605163141518161477761,-16576,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0360081
271,16832,16832,0x41c0
272,115792089237316195423570985008687907852837564279074904382605163141518161477441,-16896,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035ff41
273,16896,16896,0x4200
274,115792089237316195423570985008687907852837564279074904382605163141518161477409,-16928,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035ff21
275,16928,16928,0x4220
276,17024,17024,0x4280
277,17312,17312,0x43a0
278,17504,17504,0x4460
279,17632,17632,0x44e0
280,115792089237316195423570985008687907852837564279074904382605163141518161476449,-17888,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035fb61
281,17888,17888,0x45e0
282,17952,17952,0x4620
283,18272,18272,0x4760
284,18432,18432,0x4800
285,18496,18496,0x4840
286,115792089237316195423570985008687907852837564279074904382605163141518161475841,-18496,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035f901
287,19232,19232,0x4b20
288,19264,19264,0x4b40
289,19392,19392,0x4bc0
290,19616,19616,0x4ca0
291,115792089237316195423570985008687907852837564279074904382605163141518161474721,-19616,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035f4a1
292,19712,19712,0x4d00
293,20192,20192,0x4ee0
294,20384,20384,0x4fa0
295,115792089237316195423570985008687907852837564279074904382605163141518161473921,-20416,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035f181
296,20416,20416,0x4fc0
297,20544,20544,0x5040
298,20832,20832,0x5160
299,115792089237316195423570985008687907852837564279074904382605163141518161473409,-20928,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035ef81
300,20928,20928,0x51c0
301,21152,21152,0x52a0
302,21312,21312,0x5340
303,21504,21504,0x5400
304,21632,21632,0x5480
305,21696,21696,0x54c0
306,115792089237316195423570985008687907852837564279074904382605163141518161472641,-21696,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035ec81
307,21792,21792,0x5520
308,115792089237316195423570985008687907852837564279074904382605163141518161472129,-22208,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035ea81
309,22208,22208,0x56c0
310,22304,22304,0x5720
311,115792089237316195423570985008687907852837564279074904382605163141518161471841,-22496,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035e961
312,22496,22496,0x57e0
313,23072,23072,0x5a20
314,23104,23104,0x5a40
315,23264,23264,0x5ae0
316,23296,23296,0x5b00
