Index,Raw_Value,Balanced_Value,Hex
461,115792089237316195423570985008687907852837564279074904382605163141518161447809,-46528,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0358b81
462,46528,46528,0xb5c0
463,115792089237316195423570985008687907852837564279074904382605163141518161447329,-47008,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03589a1
464,47008,47008,0xb7a0
465,47072,47072,0xb7e0
466,47264,47264,0xb8a0
467,115792089237316195423570985008687907852837564279074904382605163141518161446689,-47648,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0358721
468,47648,47648,0xba20
469,47712,47712,0xba60
470,47904,47904,0xbb20
471,48032,48032,0xbba0
472,115792089237316195423570985008687907852837564279074904382605163141518161445921,-48416,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0358421
473,48416,48416,0xbd20
474,115792089237316195423570985008687907852837564279074904382605163141518161445729,-48608,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0358361
475,48608,48608,0xbde0
476,48672,48672,0xbe20
477,48992,48992,0xbf60
478,115792089237316195423570985008687907852837564279074904382605163141518161445121,-49216,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0358101
479,49216,49216,0xc040
480,49312,49312,0xc0a0
481,115792089237316195423570985008687907852837564279074904382605163141518161444801,-49536,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0357fc1
482,49536,49536,0xc180
483,115792089237316195423570985008687907852837564279074904382605163141518161444481,-49856,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0357e81
484,49856,49856,0xc2c0
485,50368,50368,0xc4c0
486,115792089237316195423570985008687907852837564279074904382605163141518161443969,-50368,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0357c81
487,51072,51072,0xc780
488,51104,51104,0xc7a0
489,51264,51264,0xc840
490,51744,51744,0xca20
491,51776,51776,0xca40
492,115792089237316195423570985008687907852837564279074904382605163141518161442561,-51776,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0357701
493,51904,51904,0xcac0
494,52032,52032,0xcb40
495,52128,52128,0xcba0
496,115792089237316195423570985008687907852837564279074904382605163141518161442209,-52128,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03575a1
497,52256,52256,0xcc20
498,115792089237316195423570985008687907852837564279074904382605163141518161442081,-52256,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0357521
499,52448,52448,0xcce0
500,115792089237316195423570985008687907852837564279074904382605163141518161441889,-52448,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0357461
501,52832,52832,0xce60
502,115792089237316195423570985008687907852837564279074904382605163141518161441441,-52896,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03572a1
503,52896,52896,0xcea0
504,53024,53024,0xcf20
505,53792,53792,0xd220
506,115792089237316195423570985008687907852837564279074904382605163141518161440449,-53888,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0356ec1
507,53888,53888,0xd280
508,54144,54144,0xd380
509,54432,54432,0xd4a0
510,54752,54752,0xd5e0
511,54944,54944,0xd6a0
512,55296,55296,0xd800
513,115792089237316195423570985008687907852837564279074904382605163141518161439041,-55296,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0356941
514,55328,55328,0xd820
515,115792089237316195423570985008687907852837564279074904382605163141518161439009,-55328,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0356921
516,55552,55552,0xd900
517,55712,55712,0xd9a0
518,56192,56192,0xdb80
519,56448,56448,0xdc80
520,115792089237316195423570985008687907852837564279074904382605163141518161437889,-56448,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03564c1
521,56512,56512,0xdcc0
522,56672,56672,0xdd60
523,56704,56704,0xdd80
524,57024,57024,0xdec0
525,57152,57152,0xdf40
526,57408,57408,0xe040
527,115792089237316195423570985008687907852837564279074904382605163141518161436929,-57408,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0356101
528,57632,57632,0xe120
529,57792,57792,0xe1c0
530,58688,58688,0xe540
531,115792089237316195423570985008687907852837564279074904382605163141518161435649,-58688,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0355c01
532,58784,58784,0xe5a0
533,115792089237316195423570985008687907852837564279074904382605163141518161435361,-58976,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0355ae1
534,58976,58976,0xe660
535,115792089237316195423570985008687907852837564279074904382605163141518161435169,-59168,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0355a21
536,59168,59168,0xe720
537,59552,59552,0xe8a0
538,60224,60224,0xeb40
539,60512,60512,0xec60
540,60832,60832,0xeda0
541,61152,61152,0xeee0
542,115792089237316195423570985008687907852837564279074904382605163141518161432961,-61376,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0355181
543,61376,61376,0xefc0
544,61632,61632,0xf0c0
545,115792089237316195423570985008687907852837564279074904382605163141518161432481,-61856,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0354fa1
546,61856,61856,0xf1a0
547,61952,61952,0xf200
548,115792089237316195423570985008687907852837564279074904382605163141518161432321,-62016,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0354f01
549,62016,62016,0xf240
550,62272,62272,0xf340
551,62432,62432,0xf3e0
552,62496,62496,0xf420
553,115792089237316195423570985008687907852837564279074904382605163141518161431841,-62496,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0354d21
554,62592,62592,0xf480
555,62784,62784,0xf540
556,63232,63232,0xf700
557,115792089237316195423570985008687907852837564279074904382605163141518161430369,-63968,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0354761
558,63968,63968,0xf9e0
559,64064,64064,0xfa40
560,64512,64512,0xfc00
561,64768,64768,0xfd00
562,115792089237316195423570985008687907852837564279074904382605163141518161429569,-64768,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0354441
563,64992,64992,0xfde0
564,65504,65504,0xffe0
