Index,Candidate_Value_Hex,Candidate_Value_Dec
149,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0361042,115792089237316195423570985008687907852837564279074904382605163141518161481794
150,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035f042,115792089237316195423570985008687907852837564279074904382605163141518161473602
151,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0343042,115792089237316195423570985008687907852837564279074904382605163141518161358914
152,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0305042,115792089237316195423570985008687907852837564279074904382605163141518161104962
153,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02fb042,115792089237316195423570985008687907852837564279074904382605163141518161064002
154,0x7c1d0,508368
155,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02a7042,115792089237316195423570985008687907852837564279074904382605163141518160719938
156,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0299042,115792089237316195423570985008687907852837564279074904382605163141518160662594
157,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0347051,115792089237316195423570985008687907852837564279074904382605163141518161375313
158,0x1e3,483
159,0x7ffff,524287
160,0x161e8,90600
161,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035d05e,115792089237316195423570985008687907852837564279074904382605163141518161465438
162,0x4a1f0,303600
163,0x541f8,344568
164,0xc3fff,802815
165,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0335071,115792089237316195423570985008687907852837564279074904382605163141518161301617
166,0x1ff,511
167,0x10200,66048
168,0x4203,16899
169,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd031b079,115792089237316195423570985008687907852837564279074904382605163141518161195129
170,0x3020f,197135
171,0x210,528
172,0x5220f,336399
173,0x8e218,582168
174,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0315091,115792089237316195423570985008687907852837564279074904382605163141518161170577
175,0x62223,401955
176,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd033b09e,115792089237316195423570985008687907852837564279074904382605163141518161326238
177,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd027b0a1,115792089237316195423570985008687907852837564279074904382605163141518160539809
178,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02b90a9,115792089237316195423570985008687907852837564279074904382605163141518160793769
179,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02e30b1,115792089237316195423570985008687907852837564279074904382605163141518160965809
180,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03210b2,115792089237316195423570985008687907852837564279074904382605163141518161219762
181,0x3a23f,238143
182,0x23f,575
183,0xc240,49728
184,0x4623f,287295
185,0x56243,352835
186,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03270b2,115792089237316195423570985008687907852837564279074904382605163141518161244338
187,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02c70be,115792089237316195423570985008687907852837564279074904382605163141518160851134
