timestamp,address,utxo_index,tx_hash,tx_output_n,value_btc,value_satoshi,confirmations,script
2026-08-23T00:08:23.057064,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,30,0c10d04f11ab2940a2104077425f3fdb75251e3abb38ab9470bc0e1faa84fad1,4,5.46e-06,546,180,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057066,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,31,0c10d04f11ab2940a2104077425f3fdb75251e3abb38ab9470bc0e1faa84fad1,5,5.46e-06,546,180,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057068,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,32,0c10d04f11ab2940a2104077425f3fdb75251e3abb38ab9470bc0e1faa84fad1,6,5.46e-06,546,180,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057072,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,33,0c10d04f11ab2940a2104077425f3fdb75251e3abb38ab9470bc0e1faa84fad1,7,5.46e-06,546,180,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057074,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,34,0c10d04f11ab2940a2104077425f3fdb75251e3abb38ab9470bc0e1faa84fad1,8,5.46e-06,546,180,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057076,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,35,0c10d04f11ab2940a2104077425f3fdb75251e3abb38ab9470bc0e1faa84fad1,9,5.46e-06,546,180,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057078,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,36,57a12fd69c6560861ebad96c5f09c90589f3f7ee845f964ab372536f509e8d3d,0,5.46e-06,546,207,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057080,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,37,5a7e98904e2ab2ee6578faed3b8c12c0532187f5542b2b58c84f24a2570ad7d8,0,5.46e-06,546,208,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057082,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,38,c6606396b8a28bd2fa8921313e9bf4f2906ba60b162dc7acc47f9b41bc82d802,0,5.46e-06,546,212,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057084,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,39,b92aa0fed4382aa82139f692faf016176a660fd77834bbce514ac313414f5296,0,5.46e-06,546,232,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
